job_title,headcount,median_comp,mean_comp,min_comp,max_comp,total_payroll
AIRPORT OPERATIONS CENTER COORD,8,68904.0,70602.0,65808.0,75600.0,564816.0
FOREMAN OF STATION LABORERS,1,68334.48,68334.48,68334.48,68334.48,68334.48
ADMINISTRATIVE ASSISTANT,178,68256.0,72729.50561797753,51936.0,93072.0,12945852.0
PROPERTY CUSTODIAN - AUTO POUND,28,68256.0,73135.28571428571,51936.0,93072.0,2047788.0
POLICE ADMINISTRATIVE CLERK,74,68256.0,67531.94594594595,56124.0,93072.0,4997364.0
TIMEKEEPER - CPD,30,67620.0,73754.8,58764.0,102144.0,2212644.0
ONBOARDING SPECIALIST,6,67608.0,68132.0,67608.0,70752.0,408792.0
LEGAL SECRETARY,5,67608.0,79413.6,67608.0,112104.0,397068.0
DOCUMENTATION SPECIALIST - CITY CLERK,9,67608.0,71270.66666666667,57000.0,102144.0,641436.0
PUBLIC HEALTH NUTRITIONIST,10,67284.0,68128.8,67284.0,69396.0,681288.0
AVIATION SURVEILLANCE SPECIALIST,11,66972.0,65864.72727272728,61032.0,66972.0,724512.0
SUPERVISING PROCESS SERVER,1,66516.0,66516.0,66516.0,66516.0,66516.0
STAFF ASSISTANT - EXCLUDED,12,66516.0,71766.0,63504.0,94332.0,861192.0
ADMIN SERVICES OFFICER I-EXCLUDED,1,66516.0,66516.0,66516.0,66516.0,66516.0
COORD OF MAINTENANCE REPAIRS,1,66516.0,66516.0,66516.0,66516.0,66516.0
BUDGET ANALYST,6,65616.0,67960.0,62508.0,76020.0,407760.0
UNIT ASST,9,65112.0,68466.66666666667,53532.0,84804.0,616200.0
VETERINARY ASST,5,64488.0,80136.0,64488.0,103608.0,400680.0
ACCOUNTING TECHNICIAN,69,64488.0,73113.56521739131,57000.0,102144.0,5044836.0
PREPRESS TECHNICIAN,1,64488.0,64488.0,64488.0,64488.0,64488.0
SUPERVISING ANIMAL CARE CLERK,1,64488.0,64488.0,64488.0,64488.0,64488.0
LABORATORY TECHNICIAN III,7,64488.0,73597.71428571429,58764.0,102144.0,515184.0
ENGINEERING TECHNICIAN III,1,64488.0,64488.0,64488.0,64488.0,64488.0
FOREMAN OF WINDOW WASHERS,1,63648.0,63648.0,63648.0,63648.0,63648.0
ANIMAL PLACEMENT COORD,3,63504.0,66912.0,63504.0,73728.0,200736.0
ADMINISTRATIVE SUPERVISOR - EXCLUDED,1,63504.0,63504.0,63504.0,63504.0,63504.0
ELECTION EQUIPMENT & SUPPLY SPEC III,2,63402.0,63402.0,60276.0,66528.0,126804.0
MACHINIST - APPRENTICE,1,62816.0,62816.0,62816.0,62816.0,62816.0
TRAFFIC CONTROL AIDE,48,62676.0,61280.75,46824.0,85500.0,2941476.0
WINDOW WASHER,9,61984.0,61984.0,61984.0,61984.0,557856.0
PRESS AIDE I,1,61800.0,61800.0,61800.0,61800.0,61800.0
ASST COMMUNITY LIVING SPECIALIST,26,61548.0,69499.84615384616,57000.0,102144.0,1806996.0
CLERK IV - TIMEKEEPER,21,61548.0,67772.0,57000.0,102144.0,1423212.0
GRAPHIC ARTIST II,1,61548.0,61548.0,61548.0,61548.0,61548.0
SANITATION CLERK,37,61524.0,70015.13513513513,53520.0,90108.0,2590560.0
DISTRICT CLERK - ASPHALT,4,61524.0,63750.0,53520.0,78432.0,255000.0
EMS SUPERVISOR,2,60678.0,60678.0,57852.0,63504.0,121356.0
TECHNICAL SUPPORT ADMIN - IGO,1,60660.0,60660.0,60660.0,60660.0,60660.0
HUMAN RESOURCES ASSOCIATE - IG,1,60660.0,60660.0,60660.0,60660.0,60660.0
SENIOR STUDIO EQUIPMENT OPERATOR,1,60660.0,60660.0,60660.0,60660.0,60660.0
PARALEGAL II - LABOR,1,60660.0,60660.0,60660.0,60660.0,60660.0
CUSTOMER SERVICES SUPVSR,1,60660.0,60660.0,60660.0,60660.0,60660.0
AIRPORT INFORMATION COORDINATOR,4,60660.0,60669.0,57852.0,63504.0,242676.0
POLLING PLACE INVESTIGATOR II,1,60276.0,60276.0,60276.0,60276.0,60276.0
ADMINISTRATIVE ASST III - EXCLUDED,4,59256.0,65586.0,57852.0,85980.0,262344.0
POLLING PLACE INVESTIGATOR III,1,58812.0,58812.0,58812.0,58812.0,58812.0
WATCHMAN,51,58801.6,58801.6,58801.6,58801.6,2998881.6
ANIMAL CARE AIDE I,11,58764.0,61378.90909090909,51936.0,90144.0,675168.0
HEAD STOREKEEPER,5,58764.0,65748.0,51936.0,93072.0,328740.0
CUSTOMER ACCOUNT REPRESENTATIVE,5,58764.0,62846.4,53532.0,74916.0,314232.0
PAYMENT SERVICES REPRESENTATIVE,39,58764.0,66517.23076923077,51936.0,93072.0,2594172.0
COMMUNICATIONS OPERATOR I - 311,34,58764.0,62840.82352941176,51936.0,93072.0,2136588.0
ANIMAL CARE CLERK,4,58212.0,59949.0,51936.0,71436.0,239796.0
COMPLAINT INTAKE SPECIALIST - IGO,3,57852.0,56992.0,55272.0,57852.0,170976.0
STATION LABORER,21,57479.4,57614.666666666664,57479.4,60320.0,1209908.0
BEHAVIORAL HEALTH ASSISTANT,12,57444.0,68925.0,53532.0,93072.0,827100.0
PRINCIPAL CLERK-ELECTIONS,15,57372.0,60772.8,45948.0,77160.0,911592.0
